id,Location,Sex,TA,EDL,Gastroc,Soleus,Tibia,Mode,thick,delta_thick,thick_log,Thickness
116,UoA,M,49.9,8.7,109.9,7.4,16.75,145,11.982,15.612,1.078529315,0.970689128
117,UoA,M,50.2,9.1,115.2,6.7,16.66,140,12.015,13.561,1.079723775,0.973362534
118,UoA,M,40.2,7,89.6,6.3,15.55,120,14.031,16,1.147088625,1.136683288
119,UoA,M,33.6,5.6,,4.4,,121,14.022,13.885,1.146809963,1.135954178
120,UoA,M,50.5,9,113.5,8,17.01,146,12,16.137,1.079181246,0.97214735
121,UoA,M,46.3,7.7,94.6,6.8,16.45,127,18,15.456,1.255272505,1.458221024
123,UoA,M,43.2,9.9,107.7,6.7,17.07,145,14.016,16.974,1.146624089,1.135468104
124,UoA,M,45.4,8.9,86.6,6.9,16.38,143,12.155,15.414,1.084754963,0.984704253
125,UoA,M,43.1,8,110.5,5.5,16.65,136,13.985,14.554,1.145662471,1.132956724
126,UoA,M,49.5,8.4,107.5,8.2,16.21,138,12.012,13.794,1.079615324,0.973119497
127,UoA,M,41.6,7.6,91.5,5.6,16.1,128,14.009,14.907,1.146407135,1.134901018
128,UoA,M,45.6,9.2,122.6,8.4,16.65,147,12.031,16,1.080301727,0.97465873
129,UoA,M,44.4,9.7,136.7,8,17.15,141,12,16.137,1.079181246,0.97214735
130,UoA,M,44.1,9,110.7,5.9,16.71,142,16.02,14,1.204662512,1.297816712
131,UoA,M,48.1,9.3,119,7.8,16.44,140,13.974,15.691,1.145320739,1.132065588
132,UoA,M,40.1,7.6,86.9,4.8,15.81,138,10.793,14,1.033142177,0.874365529
133,UoA,M,52.8,10,122.1,8.3,16.82,151,13.971,17.351,1.145227493,1.131822552
134,UoA,M,45.5,8,92.8,7.1,16.58,137,12.012,13.794,1.079615324,0.973119497
135,UoA,M,50,9.2,119.6,7,16.52,151,12.027,13.612,1.080157311,0.974334681
136,UoA,M,46.9,8.3,107.1,7.4,16.05,147,13.985,14.554,1.145662471,1.132956724
137,UoA,M,55.8,9.8,114.3,7.1,16.55,147,11.996,15.307,1.079036457,0.9718233
138,UoA,M,42.3,7.1,111.8,6.8,16.46,143,11.639,13.324,1.065915668,0.942901917
139,UoA,M,41.1,7.7,112,6.8,16.58,135,12.647,13.636,1.101987519,1.024562294
140,UoA,M,60.9,10.2,129,9.8,16.49,161,13.994,21.775,1.14594187,1.133685834
141,UoA,M,49.3,8.6,110.8,7.1,16.52,167,14.004,18,1.146252102,1.134495957
142,UoA,M,44.2,9,110.9,7.7,16.39,149,12.019,15.802,1.079868335,0.973686583
143,UoA,M,49.6,10.1,117.7,7.8,17.37,138,18.02,15.612,1.255754787,1.45984127
144,UoA,M,46.4,9.4,126.9,6.9,16.27,145,13.973,15.009,1.145289659,1.131984576
145,UoA,M,47.2,9.1,116,8,16.44,147,11.996,15.541,1.079036457,0.9718233
146,UoA,M,41.5,6.3,88.8,5.8,15.82,129,10.027,14,1.001171015,0.812310123
147,UoA,M,43.6,8.5,99.2,6.5,16.13,157,12.014,20.535,1.079687628,0.973281521
148,UoA,M,43.3,9.3,110.6,7.3,16.42,147,18.007,14.306,1.255441365,1.45878811
149,UoA,M,49,9.6,123.9,8,17.25,141,15.997,15.732,1.204038545,1.295953429
150,UoA,M,43.5,7.4,96,5.1,16.03,131,11.633,15.23,1.065691728,0.942415843
151,UoA,M,53.3,10.2,133.1,8.6,16.92,154,13.979,14.741,1.145476105,1.13247065
152,UoA,M,45.3,8.7,106.9,7.8,16.21,142,12.023,15.456,1.080012847,0.974010632
153,UoA,M,40,7.5,106.4,6.8,15.97,147,11.992,14.133,1.07889162,0.971499251
154,UoA,M,50.3,9.2,115.3,8.1,17.25,135,22.022,16.137,1.342856758,1.784052411
155,UoA,M,44.2,7.5,98.9,6.6,16.56,130,14.024,13.456,1.146871903,1.136116202
156,UoA,M,45.8,7.8,102.7,5.6,16.32,148,13.98,15.021,1.145507171,1.132551662
157,UoA,M,45,8.5,119,7,16.57,139,11.996,14,1.079036457,0.9718233
158,UoA,M,46.2,8.6,103.1,6.4,16.23,137,14.007,14.077,1.146345129,1.134738994
159,UoA,M,44.1,7.4,100.6,6.5,16.76,146,12.024,12.413,1.080048968,0.974091644
160,UoA,M,42,8.1,107.5,6.2,15.35,143,10.758,15.222,1.03173154,0.871530099
161,UoA,M,42.2,7.5,94,7,15.89,147,13.99,15.834,1.145817714,1.133361785
162,UoA,M,52,9.7,123.3,8.2,16.57,151,13.986,15.208,1.145693524,1.133037736
163,UoA,M,45.3,9.4,112.1,7.1,15.93,156,11.998,13.969,1.079108858,0.971985325
164,UoA,M,48.1,8.6,106.9,7.5,16.73,152,12.023,15.456,1.080012847,0.974010632
165,UoA,M,55.9,10.6,137.5,,17.66,152,13.971,17.351,1.145227493,1.131822552
166,UoA,M,44,7.7,100.3,6.2,16.01,142,13.98,15.021,1.145507171,1.132551662
167,UoA,M,40.2,7.4,97.5,6.8,16.25,145,14.004,15.785,1.146252102,1.134495957
168,UoA,M,39.6,7.5,95.5,6.8,15.74,134,12.008,14.083,1.079470679,0.972795448
169,UoA,M,39.5,6.8,93,5.8,16.22,137,11.992,13.313,1.07889162,0.971499251
170,UoA,M,50.8,9.5,120.2,8.1,16.53,154,11.988,17.857,1.078746734,0.971175202
171,UoA,M,45.8,7.9,99.3,6.1,16.47,152,13.984,14.306,1.145631415,1.132875711
172,UoA,M,47.3,9.7,115.4,8.5,16.73,145,12.023,15.456,1.080012847,0.974010632
173,UoA,M,39.7,7.9,89.2,7,16.26,152,12.029,14.683,1.080229525,0.974496706
174,UoA,M,44.1,9.1,112.3,6.7,16.42,151,12.816,14.415,1.107752499,1.038253369
175,UoA,M,50.4,8.6,121.2,8.1,16.54,152,13.433,13.95,1.128173015,1.088237945
176,UoA,M,47,9.3,102.5,6.5,16.43,144,13.978,13.95,1.145445036,1.132389638
177,UoA,M,44.6,9.3,104.7,7.8,17.03,144,14.007,14.077,1.146345129,1.134738994
178,UoA,M,,10.2,129.2,8.8,16.73,153,22.018,16.622,1.342777867,1.783728362
179,UoA,M,46.9,9.2,112,7.3,16.38,131,21.531,16.063,1.333064201,1.744275382
180,UoA,M,39.9,7.4,70.2,5.3,15.53,138,16.008,13.056,1.204337076,1.296844564
181,UoA,M,41.5,8.1,98.8,5.9,15.69,133,11.987,14.331,1.078710505,0.97109419
182,UoA,M,33.6,6.8,77.4,4.3,15.15,138,13.979,13.351,1.145476105,1.13247065
183,UoA,M,39.9,8.1,102.2,5.8,15.66,120,13.994,15.802,1.14594187,1.133685834
184,UoA,M,47.4,8.4,108.1,6.7,16.33,124,17.072,13.802,1.232284402,1.383041629
185,UoA,M,44.2,7.2,91.7,5.5,16.51,121,13.996,14,1.146003934,1.133847859
186,UoA,M,45.5,8.3,112.6,6,16.76,152,12.022,19.53,1.079976724,0.97392962
187,UoA,M,36.8,6.7,88.2,5.1,15.61,150,10.035,17.785,1.001517377,0.812958221
188,UoA,M,46.2,9,124.8,8.1,17.11,144,13.978,13.95,1.145445036,1.132389638
189,UoA,M,48.6,8.2,116.7,6,16.81,139,13.999,14.833,1.146097014,1.134090895
190,UoA,M,46,8.2,108.8,5.7,16.33,158,22.011,16.471,1.342639774,1.783161276
191,UoA,M,51.1,9.9,116.9,8.2,16.49,144,15.986,13.203,1.203739809,1.295062294
192,UoA,M,47.3,9,107.5,7,16.49,135,13.974,15.298,1.145320739,1.132065588
193,UoA,M,47.4,9,115.1,7.9,16.65,149,14.007,14.077,1.146345129,1.134738994
194,UoA,M,47.4,7.8,108.2,6.8,16.35,139,19.672,15.245,1.293848516,1.593673555
195,UoA,M,51,9.4,122.8,7.6,16.33,155,12.015,17.23,1.079723775,0.973362534
196,UoA,M,48.6,8.7,117.7,7.4,16.52,146,13.987,13.428,1.145724575,1.133118748
197,UoA,M,40.9,8.3,108.8,7.2,16.22,152,13.997,11.882,1.146034963,1.133928871
198,UoA,M,40.5,7.7,102,5.1,16.05,135,11.996,14,1.079036457,0.9718233
199,UoA,M,45.8,8.9,109.7,6.8,16.49,143,12.031,16,1.080301727,0.97465873
200,UoA,M,36.2,6.3,87.4,5,15.46,141,12.018,13.683,1.0798322,0.973605571
201,UoA,M,50.3,9.8,113.3,8.5,16.56,148,12.008,14.083,1.079470679,0.972795448
202,UoA,M,48.8,9.6,123.9,7.6,16.57,158,16.002,15.22,1.204174266,1.296358491
203,UoA,M,44.6,8.3,106.7,6.5,16.28,146,12.027,14.862,1.080157311,0.974334681
204,UoA,M,50.6,9.2,115.2,7.7,16.76,148,11.644,13.968,1.066102197,0.943306978
205,UoA,M,52.3,8.9,114.2,8.3,17.42,138,16.019,13.785,1.204635401,1.297735699
